PRS_ID,CUTOFF_1e-6,CUTOFF_1e-7,CUTOFF_1e-8,CUTOFF_1e-10
PGS000099,10.37,10.73,10.95,11
PGS000174,7.89,8.29,8.66,9.52
PGS001219,11,11,11,11
PGS001989,11,11,11,11
PGS002206,10.87,10.97,10.97,11
PGS002339,10.2,10.49,10.84,11
PGS002371,7.25,7.54,7.91,8.46
PGS002411,10.75,10.81,10.91,10.99
PGS002460,11,11,11,11
PGS002509,11,10.98,11,11
PGS002558,9.24,9.97,10.43,10.78
PGS002607,10.31,10.78,10.9,10.99
PGS002656,10.36,10.79,10.78,10.59
PGS002705,11,11,11,11
PGS003560,10.82,10.97,10.96,10.99
Lenient,4.65,4.11,4.5,NA
Stringent,NA,NA,NA,3.98
