PRS_ID,N_TARGET_VARS,PEARSON_CORR,SPEARMAN_RHO,COSINE_SIM,TOP10PCT_PREV,TOP1PCT_PREV,TOP10PCT_OR,TOP1PCT_OR,PERCENTILE_AVE_PREV_SLOPE,PERCENTILE_AVE_PREV_SPEARMAN,PERCENTILE_AVE_PHENO_SLOPE,PERCENTILE_AVE_PHENO_SPEARMAN
PGS000099,25535,1,1,0.89,1,1,1,1,1,1,1,1
PGS000174,130,1,1,0.28,1,0.68,1,0.68,1,0.62,0.78,0.87
PGS001219,11730,1,1,1,1,1,1,1,1,1,1,1
PGS001989,40982,1,1,1,1,1,1,1,1,1,1,1
PGS002206,490973,1,1,1,1,1,1,1,1,0.98,1,1
PGS002339,1084335,1,1,0.98,1,1,1,1,1,1,1,1
PGS002371,901455,0.98,0.98,0.72,1,0.99,1,0.99,0.91,0.92,0.89,0.91
PGS002411,11347,1,1,0.99,1,1,1,1,1,0.94,0.99,0.97
PGS002460,23032,1,1,0.98,1,1,1,1,1,1,1,1
PGS002509,62903,1,1,0.98,1,1,1,1,1,1,1,1
PGS002558,3935,1,1,0.93,1,1,1,1,1,0.66,0.99,0.66
PGS002607,2064,1,1,0.88,1,0.99,1,0.99,0.99,0.85,0.97,0.98
PGS002656,236372,1,1,0.93,1,1,1,1,1,0.99,1,0.99
PGS002705,844176,1,1,1,1,1,1,1,1,1,1,1
PGS003560,623619,1,1,1,1,1,1,1,1,0.98,1,1
